Date,DateKey,Year,Quarter,MonthNum,Month,FiscalYear,FiscalQuarter,FiscalMonthNum,FiscalMonth,MonthYear,MonthYearLong,MonthYearNum,WeekdayNum,Weekday,WeekdayWeekend
03-04-2016 00:00,20160403,2016,Q2,4,Apr,FY2016,FQ4,10,Apr,Apr-16,Apr-2016,201604,1,Sun,Weekend
04-04-2016 00:00,20160404,2016,Q2,4,Apr,FY2016,FQ4,10,Apr,Apr-16,Apr-2016,201604,2,Mon,Weekday
05-04-2016 00:00,20160405,2016,Q2,4,Apr,FY2016,FQ4,10,Apr,Apr-16,Apr-2016,201604,3,Tue,Weekday
06-04-2016 00:00,20160406,2016,Q2,4,Apr,FY2016,FQ4,10,Apr,Apr-16,Apr-2016,201604,4,Wed,Weekday
07-04-2016 00:00,20160407,2016,Q2,4,Apr,FY2016,FQ4,10,Apr,Apr-16,Apr-2016,201604,5,Thu,Weekday
08-04-2016 00:00,20160408,2016,Q2,4,Apr,FY2016,FQ4,10,Apr,Apr-16,Apr-2016,201604,6,Fri,Weekday
09-04-2016 00:00,20160409,2016,Q2,4,Apr,FY2016,FQ4,10,Apr,Apr-16,Apr-2016,201604,7,Sat,Weekend
10-04-2016 00:00,20160410,2016,Q2,4,Apr,FY2016,FQ4,10,Apr,Apr-16,Apr-2016,201604,1,Sun,Weekend
11-04-2016 00:00,20160411,2016,Q2,4,Apr,FY2016,FQ4,10,Apr,Apr-16,Apr-2016,201604,2,Mon,Weekday
04-07-2016 00:00,20160704,2016,Q3,7,Jul,FY2017,FQ1,1,Jul,Jul-16,Jul-2016,201607,2,Mon,Weekday
05-07-2016 00:00,20160705,2016,Q3,7,Jul,FY2017,FQ1,1,Jul,Jul-16,Jul-2016,201607,3,Tue,Weekday
06-07-2016 00:00,20160706,2016,Q3,7,Jul,FY2017,FQ1,1,Jul,Jul-16,Jul-2016,201607,4,Wed,Weekday
07-07-2016 00:00,20160707,2016,Q3,7,Jul,FY2017,FQ1,1,Jul,Jul-16,Jul-2016,201607,5,Thu,Weekday
